标题,内容,阅读量,评论数,帖子链接,股票代码,发布时间,内容长度,质量评分
两融余额增加35.50亿元 杠杆资金大幅加仓283股,闽东电力 16375.93 -31.75 -3.83 公用事业 920270 天铭科技 575.55 -29.57 30.00 汽车 600626 申达股份 17528.54 -29.45 -3.30 汽车 920810 春光智能 157.84 -25.34 10.95 机械设备 603777,0,0,,603777,2025-12-31 09:44:47,147,20.0
【数据揭秘】融资客看好个股一览,16375.93 -31.75 3.16 -3.83 920270 天铭科技 575.55 -29.57 0.36 30.00 600626 申达股份 17528.54 -29.45 3.60 -3.30 920810 春光智能 157.84 -25.34 0.18 10.95 603777,0,0,,603777,2025-12-31 10:33:36,146,19.86394557823129
杠杆资金持续回流 两融余额五连升,安记食品 23685.19 78.26 38.02 食品饮料 920035 精创电气 626.98 76.12 -10.10 机械设备 920422 润普食品 1218.76 73.27 -9.74 基础化工 920378 泰德股份 1169.08 70.45 0.41 汽车 603777,0,0,,603777,2025-12-26 09:48:07,145,19.727891156462583
解密主力资金出逃股 连续5日净流出466股,1.91 5.75 0.13 601700 风范股份 8 1.77 5.77 -10.71 000065 北方国际 8 1.71 8.50 -0.24 603931 格林达 11 1.70 5.19 -16.94 002343 慈文传媒 12 1.68 6.79 -17.39 603777,0,0,,603777,2025-12-25 17:35:55,145,19.727891156462583
【数据揭秘】融资客看好个股一览,其中，融资余额环比增幅前30和环比降幅前30的股票如下：（数据宝） A股融资余额环比增加前30股一览 证券代码 证券简称 融资余额（万元） 环比增长（%） 占流通市值比例（%） 涨跌幅(%) 603777 来伊份 13988.59 67.43 2.81 0.34 920422,0,0,,603777,2025-12-22 10:57:10,138,18.775510204081634
“啤酒大王”侯孝海下一站：出任正大中国COO，操盘超两千亿业务，啤酒打法能复制吗？,2025年12月26 日，正大集团农牧食品企业中国区与来伊份（603777.SH）达成战略合作。会谈中，双方明确了合作路径，将率先在鸡蛋、冷冻食品及水饮品类展开深度合作，未来将共同打造特色冷冻食品、休闲零食及联名爆品，全面覆盖全时段消费场景。,0,0,,603777,2026-01-09 20:08:57,121,16.462585034013607
来伊份深陷亏损，实控人施永雷夫妇累计套现超4亿,3个月前，来伊份（603777）实控人施永雷和郁瑞芬夫妇刚刚完成逾8000万元的减持。2026年元旦伊始，他们又要减持了。 按照减持上限和公告前公司收盘价，此次减持，施永雷和郁瑞芬夫妇又有望获得超1亿元现金回报，而来伊份正深陷亏损而不能自拔。,0,0,,603777,2026-01-09 14:52:59,121,16.462585034013607
刚落袋8243万元，来伊份控股股东“再挥刀”，2025年前三季增亏近两倍,1月8日晚间，有“休闲零食第一股”之称的来伊份603777发布公告称，公司控股股东爱屋企管因资金需求，拟在1月30日至4月29日通过集中竞价交易、大宗交易等方式减持合计不超过1003.27万股公司股份，即不超过总股本的3%。,0,0,,603777,2026-01-08 19:59:19,112,15.238095238095237
1月8日晚间沪深上市公司重大事项公告最新快递,来伊份：控股股东拟减持不超过3%公司股份 来伊份6037771月8日公告，公司控股股东上海爱屋企业管理有限公司拟减持公司股份合计不超过1003.27万股，即不超过公司总股本的3%。,0,0,,603777,2026-01-08 19:32:29,90,12.244897959183675
来伊份：控股股东拟减持不超过3%公司股份,人民财讯1月8日电，来伊份6037771月8日公告，公司控股股东上海爱屋企业管理有限公司拟减持公司股份合计不超过1003.27万股，即不超过公司总股本的3%。,0,0,,603777,2026-01-08 18:28:18,79,10.748299319727892
